score	seq	width	nucCons	file
1062.7617932649562	58	26	0.00	ia1_BEAM_noise35_6_run10.txt
1049.9537024111937	60	26	0.00	ia1_BEAM_noise35_6_run2.txt
1066.2056877453388	58	26	0.00	ia1_BEAM_noise35_6_run3.txt
1066.139902039097	58	26	0.00	ia1_BEAM_noise35_6_run4.txt
1061.4102964052038	59	26	0.00	ia1_BEAM_noise35_6_run5.txt
1057.80958926646	58	26	0.00	ia1_BEAM_noise35_6_run6.txt
1060.6156897609335	60	26	0.00	ia1_BEAM_noise35_6_run7.txt
1052.7830432493665	58	26	0.00	ia1_BEAM_noise35_6_run8.txt
1051.4172738932677	59	26	0.00	ia1_BEAM_noise35_6_run9.txt
852.5753188320367	55	21	0.00	ia1_BEAM_noise35_7_run1.txt
851.3884653290546	55	22	0.00	ia1_BEAM_noise35_7_run10.txt
854.7562950180421	55	22	0.00	ia1_BEAM_noise35_7_run2.txt
852.5753188320367	55	21	0.00	ia1_BEAM_noise35_7_run3.txt
849.6550259744207	54	22	0.00	ia1_BEAM_noise35_7_run4.txt
845.158050264393	55	20	0.00	ia1_BEAM_noise35_7_run5.txt
854.7840257537861	55	22	0.00	ia1_BEAM_noise35_7_run6.txt
838.4100126738348	52	24	0.00	ia1_BEAM_noise35_7_run7.txt
845.5245689538342	55	20	0.00	ia1_BEAM_noise35_7_run8.txt
851.6407776086764	55	21	0.00	ia1_BEAM_noise35_7_run9.txt
912.9968399500899	57	23	0.00	ia1_BEAM_noise35_8_run1.txt
905.4223958801441	57	23	0.00	ia1_BEAM_noise35_8_run10.txt
886.8930426766585	60	22	0.00	ia1_BEAM_noise35_8_run2.txt
907.7523966703039	57	23	0.00	ia1_BEAM_noise35_8_run3.txt
897.1536559965112	58	22	0.00	ia1_BEAM_noise35_8_run4.txt
902.6845929538455	58	22	0.00	ia1_BEAM_noise35_8_run5.txt
903.3489515382354	58	22	0.00	ia1_BEAM_noise35_8_run6.txt
905.9703587063801	58	22	0.00	ia1_BEAM_noise35_8_run7.txt
909.2822060400473	58	23	0.00	ia1_BEAM_noise35_8_run8.txt
903.1219287037055	58	23	0.00	ia1_BEAM_noise35_8_run9.txt
914.9890099539258	55	25	0.00	ia1_BEAM_noise35_9_run1.txt
911.6467934678697	56	25	0.00	ia1_BEAM_noise35_9_run10.txt
908.2205177530692	55	25	0.00	ia1_BEAM_noise35_9_run2.txt
916.3797120581077	54	26	0.00	ia1_BEAM_noise35_9_run3.txt
914.8678310258242	55	25	0.00	ia1_BEAM_noise35_9_run4.txt
914.8678310258241	55	25	0.00	ia1_BEAM_noise35_9_run5.txt
908.7049785893872	54	25	0.00	ia1_BEAM_noise35_9_run6.txt
913.8324168758797	53	25	0.00	ia1_BEAM_noise35_9_run7.txt
893.9693517324171	55	25	0.00	ia1_BEAM_noise35_9_run8.txt
912.9057064029193	53	26	0.00	ia1_BEAM_noise35_9_run9.txt
869.5402157243066	50	25	0.00	ia1_BEAM_noise42_10_run1.txt
871.2780211689317	51	27	0.00	ia1_BEAM_noise42_10_run10.txt
871.7199314375187	49	27	0.00	ia1_BEAM_noise42_10_run2.txt
872.775290709306	51	27	0.00	ia1_BEAM_noise42_10_run3.txt
878.0318512207588	49	26	0.00	ia1_BEAM_noise42_10_run4.txt
600.4359505355501	66	17	0.00	ia1_BEAM_noise42_10_run5.txt
869.2087071259527	52	26	0.00	ia1_BEAM_noise42_10_run6.txt
